iso_code,new_cases_smoothed_per_million,tourist_service_index
ALB,0.004860911963139605,0.45875251509054316
ARE,0.007510701399929034,0.7847082494969819
ARG,0.010540070737359478,0.5633802816901409
ARM,0.0014145306403268532,0.5231388329979879
AUS,0.5904597371525196,0.8712273641851105
AUT,0.39027789765325577,0.9919517102615694
AZE,0.0006873891925218738,0.289738430583501
BEL,0.2270771017419531,0.6981891348088531
BGD,7.424545733809618e-05,0.04426559356136822
BGR,0.027692163484784788,0.8490945674044266
BHR,0.0869949491434085,0.5694164989939637
BOL,0.00272635506466934,0.323943661971831
BRA,0.02896794792671107,0.5513078470824949
BRB,0.3487627767924787,0.5513078470824949
BWA,0.0,0.38430583501006044
CAN,0.07211492206856505,0.875251509054326
CHE,0.1803067946039639,0.8993963782696177
CHL,0.0513685757957953,0.5191146881287726
CHN,0.0052957119226758305,0.35814889336016087
CMR,0.0,0.09456740442655942
COL,0.0017905529461370864,0.42052313883299797
CRI,0.030519832663113405,0.732394366197183
CYP,0.7087725029473899,0.7887323943661972
DEU,0.47799503854731334,0.8490945674044266
DNK,0.12244808309056616,0.6217303822937627
DOM,0.0011740062941586458,0.6217303822937627
DZA,2.8770114718512268e-05,0.02213279678068414
ECU,0.006097098827818907,0.4627766599597586
EGY,0.0015548236190886307,0.2997987927565393
ESP,0.07176937133587068,0.9718309859154928
EST,0.14947033600091075,0.7404426559356136
ETH,7.517352555482238e-05,0.0
FIN,0.2474464976406959,0.5895372233400402
FRA,0.5958870800839344,0.7967806841046279
GBR,0.16114512481125412,0.8792756539235411
GEO,0.020071486001173696,0.635814889336016
GHA,7.316271108524894e-05,0.1167002012072435
GRC,0.338000124361141,0.8088531187122736
GTM,0.010743472354858638,0.41247484909456733
HKG,0.0755023710596157,0.511066398390342
HND,0.001124199966527673,0.3440643863179075
HRV,0.05922591067467157,0.955734406438632
HUN,0.06317700642934725,0.607645875251509
IDN,0.001592255703829921,0.27364185110663986
IND,0.0002538266572746163,0.21126760563380276
IRL,0.13415365283009761,0.8169014084507042
IRN,0.008870630693505162,0.21529175050301808
ISL,0.16453164573408804,0.8591549295774648
ISR,0.19573237111220626,0.7464788732394367
ITA,0.3165407123418533,0.8611670020120723
JAM,0.0028909324951021196,0.6378269617706238
JOR,0.003188842392671231,0.4245472837022133
JPN,0.11401751140982534,0.800804828973843
KAZ,0.00037803312027980636,0.33601609657947684
KEN,6.79036578571338e-05,0.24144869215291753
KHM,0.00042242571664654303,0.30382293762575463
KOR,0.9999999999999999,0.7686116700201207
KWT,0.006493383956360995,0.4325955734406438
LBN,0.00764186837455967,0.44869215291750497
LKA,0.0007771024534720734,0.3078470824949697
LTU,0.15000351119141994,0.5412474849094567
LUX,0.4155426987171932,0.8450704225352113
LVA,0.13104709915264276,0.5593561368209254
MAR,0.0005419918385681021,0.4386317907444668
MDA,0.013546857081516253,0.23541247484909456
MEX,0.004173368092581611,0.6197183098591549
MKD,0.020795533888256258,0.4325955734406438
MLT,0.3103237380360406,0.7525150905432594
MMR,0.00029388826862996405,0.5513078470824949
MNE,0.03479621632775162,0.76056338028169
MNG,0.004427040071820106,0.233400402414487
MUS,0.15676031184329506,0.6519114688128772
MYS,0.09604222215416387,0.5593561368209254
NGA,2.1036212912460584e-05,0.1529175050301812
NIC,0.0,0.3440643863179075
NLD,0.14056196386659206,0.6257545271629779
NOR,0.04171836780024012,0.688128772635815
NPL,0.00013472456946142037,0.1046277665995976
NZL,0.5632387229657596,0.8189134808853118
OMN,0.0016921777151641087,0.476861167002012
PAK,0.00017323940045555777,0.19718309859154926
PAN,0.019002506093541233,0.6036217303822938
PER,0.004625491992163392,0.7263581488933601
PHL,0.0007283788720939476,0.3762575452716298
POL,0.009092593675338845,0.5613682092555331
PRT,0.2741266027351408,1.0
PRY,0.0010069540151479294,0.30181086519114686
QAT,0.013007030735453846,0.6639839034205233
ROU,0.024253980097886447,0.5674044265593561
RUS,0.026338421312653498,0.4849094567404426
RWA,6.156185837617141e-05,0.1167002012072435
SAU,0.0009534354146500517,0.6841046277665996
SEN,5.64574831841773e-05,0.2816901408450704
SGP,0.19769523539058215,0.6820925553319919
SLV,0.0022440689480439572,0.2716297786720322
SRB,0.047637432208483724,0.4386317907444668
SUR,0.0025763173696319373,0.5513078470824949
SVK,0.1952002786679499,0.5412474849094567
SVN,0.2490187998778662,0.7424547283702212
SWE,0.017955645145074077,0.6116700201207242
SYC,0.21402072871297664,0.7303822937625755
THA,0.09957924480614357,0.8490945674044266
TUN,0.004850393856683375,0.4849094567404426
TUR,0.023911058891806117,0.6659959758551308
TWN,0.008508993445054186,0.6096579476861166
TZA,9.280682167262022e-06,0.13279678068410466
UGA,5.398263460624076e-05,0.11066398390342053
UKR,0.0,0.5150905432595574
URY,0.037851571575250396,0.6217303822937627
USA,0.032846809038518235,0.9718309859154928
VEN,0.000913837837403067,0.2474849094567404
VNM,0.1296220504058597,0.22535211267605637
YEM,5.104375191994113e-06,0.028169014084507116
ZAF,0.007130812143215775,0.5171026156941649
ZMB,0.0015228052656115767,0.15895372233400407
ZWE,0.0010351054177219576,0.24547283702213285
